,parcelid,logerror,transactiondate,class
49,12859348,-0.0408,2016-01-03,lowerror
50,12885665,0.0159,2016-01-03,lowerror
51,12934834,0.006,2016-01-03,lowerror
52,14077187,-0.0171,2016-01-03,lowerror
53,14693306,0.0344,2016-01-03,lowerror
54,13892813,0.0639,2016-01-03,lowerror
55,11510907,0.0639,2016-01-03,lowerror
56,11519155,0.0573,2016-01-03,lowerror
57,14365990,0.0276,2016-01-03,lowerror
58,11403600,-0.1497,2016-01-03,higherror
59,12086710,0.076,2016-01-04,higherror
60,14030226,-0.0481,2016-01-04,lowerror
61,12701128,0.2119,2016-01-04,higherror
62,14632504,0.0109,2016-01-04,lowerror
63,12932190,-0.001,2016-01-04,lowerror
64,14696295,0.0,2016-01-04,
65,11940440,-0.0576,2016-01-04,lowerror
66,14674493,-0.0356,2016-01-04,lowerror
67,17249897,0.0227,2016-01-04,lowerror
68,10908638,0.001,2016-01-04,lowerror
69,10953535,-0.006,2016-01-04,lowerror
70,14246533,-0.0253,2016-01-04,lowerror
71,11267869,-0.0523,2016-01-04,lowerror
72,10746700,0.1467,2016-01-04,higherror
73,12921680,0.0109,2016-01-04,lowerror
74,17282027,0.0296,2016-01-04,lowerror
75,14731078,-0.0387,2016-01-04,lowerror
76,13964033,0.004,2016-01-04,lowerror
77,11523731,-0.0294,2016-01-04,lowerror
78,11427633,0.0296,2016-01-04,lowerror
79,14042212,0.0667,2016-01-04,lowerror
80,13980837,-0.0253,2016-01-04,lowerror
81,12533657,0.0276,2016-01-04,lowerror
82,14130954,0.0286,2016-01-04,lowerror
83,14502204,0.0159,2016-01-04,lowerror
84,12516077,0.0286,2016-01-04,lowerror
85,17158640,0.1142,2016-01-04,higherror
86,14733074,0.0334,2016-01-04,lowerror
87,13077042,0.0402,2016-01-04,lowerror
88,11702617,-0.0243,2016-01-04,lowerror
89,14229471,0.045,2016-01-04,lowerror
90,12780042,0.0344,2016-01-04,lowerror
91,12193158,-0.0336,2016-01-04,lowerror
92,11948830,-0.1427,2016-01-04,higherror
93,14421073,-0.2459,2016-01-04,higherror
94,11986763,-0.078,2016-01-04,higherror
95,17192496,-0.006,2016-01-04,lowerror
96,14715925,-0.1244,2016-01-04,higherror
97,17088153,-0.044000000000000004,2016-01-04,lowerror
98,14616359,-0.078,2016-01-04,higherror
99,10801388,0.0149,2016-01-04,lowerror
100,14322594,0.063,2016-01-04,lowerror
101,14324521,-0.1997,2016-01-04,higherror
102,17118736,-0.4095,2016-01-04,higherror
103,10848180,-0.0419,2016-01-04,lowerror
104,12755278,0.0526,2016-01-04,lowerror
105,11057902,-0.0222,2016-01-04,lowerror
106,11641841,-0.1473,2016-01-04,higherror
107,14227578,0.0178,2016-01-04,lowerror
108,14140396,-0.091,2016-01-04,higherror
109,14412754,0.008,2016-01-04,lowerror
110,14692960,-0.1744,2016-01-04,higherror
111,10752781,-0.001,2016-01-04,lowerror
112,14443228,0.0488,2016-01-04,lowerror
113,14421427,0.0573,2016-01-04,lowerror
114,11056378,0.003,2016-01-04,lowerror
115,12863513,0.145,2016-01-04,higherror
116,11269343,0.1398,2016-01-04,higherror
117,12515416,-0.0598,2016-01-04,lowerror
118,10748903,-0.009000000000000001,2016-01-04,lowerror
119,12597787,0.0208,2016-01-04,lowerror
120,11056109,-0.006,2016-01-04,lowerror
121,12338963,0.3358,2016-01-04,higherror
122,12887934,0.005,2016-01-04,lowerror
123,12498811,-0.1358,2016-01-04,higherror
124,12221552,-0.6368,2016-01-04,higherror
125,12136379,-0.006,2016-01-04,lowerror
126,17188935,-0.002,2016-01-04,lowerror
127,14084996,0.0554,2016-01-04,lowerror
128,10999114,-0.1087,2016-01-04,higherror
129,14244947,0.0149,2016-01-04,lowerror
130,12261255,-0.0233,2016-01-04,lowerror
131,11002227,0.0421,2016-01-04,lowerror
132,12727119,-0.4277,2016-01-04,higherror
133,11603214,-0.001,2016-01-04,lowerror
134,13880945,-0.0202,2016-01-04,lowerror
135,12505717,0.0535,2016-01-04,lowerror
136,17055019,0.0421,2016-01-04,lowerror
137,13877133,0.098,2016-01-04,higherror
138,11297146,-0.0769,2016-01-04,higherror
139,12268525,0.005,2016-01-04,lowerror
140,11448170,0.098,2016-01-04,higherror
141,13935681,-0.0932,2016-01-04,higherror
142,10883409,0.0944,2016-01-04,higherror
143,13872819,0.0,2016-01-04,
144,13896016,0.0962,2016-01-04,higherror
145,11916304,0.0188,2016-01-04,lowerror
146,12229878,-0.1154,2016-01-04,higherror
147,14365040,0.0178,2016-01-04,lowerror
148,11251631,-0.078,2016-01-04,higherror
149,13918657,0.0392,2016-01-04,lowerror
150,14710649,0.004,2016-01-04,lowerror
151,14366651,-0.1054,2016-01-04,higherror
152,11767927,-0.0899,2016-01-04,higherror
153,10981110,0.01,2016-01-04,lowerror
154,13896100,0.179,2016-01-04,higherror
155,10981417,-0.006,2016-01-04,lowerror
156,14483291,0.0344,2016-01-04,lowerror
157,10900015,0.0639,2016-01-04,lowerror
158,11908800,0.3825,2016-01-04,higherror
159,11422524,0.1187,2016-01-04,higherror
160,12723859,0.1089,2016-01-04,higherror
161,13902249,-0.0141,2016-01-04,lowerror
162,12872748,0.0421,2016-01-04,lowerror
163,11664308,0.1089,2016-01-04,higherror
164,13914106,0.0119,2016-01-04,lowerror
165,14636858,-0.0315,2016-01-04,lowerror
166,12270299,-0.13699999999999998,2016-01-04,higherror
167,12901047,0.0354,2016-01-04,lowerror
168,10865683,-0.0492,2016-01-04,lowerror
169,12616210,0.1765,2016-01-04,higherror
170,10960001,0.0383,2016-01-04,lowerror
171,12002086,-0.0182,2016-01-04,lowerror
172,12300590,-0.0243,2016-01-04,lowerror
173,14674230,0.0917,2016-01-04,higherror
174,14597760,-0.0243,2016-01-04,lowerror
175,14498398,0.0276,2016-01-04,lowerror
176,14615747,0.0373,2016-01-04,lowerror
177,10864723,-0.044000000000000004,2016-01-04,lowerror
178,11037394,0.0198,2016-01-04,lowerror
179,11846598,-0.145,2016-01-04,higherror
180,10958511,-0.0629,2016-01-04,lowerror
181,13954029,-0.0429,2016-01-04,lowerror
182,14339531,0.0334,2016-01-04,lowerror
183,13100508,0.0325,2016-01-04,lowerror
184,11548125,-0.3439,2016-01-04,higherror
185,10907593,-0.0263,2016-01-04,lowerror
186,12095743,0.0188,2016-01-04,lowerror
187,13872388,0.0149,2016-01-04,lowerror
188,10741537,0.0296,2016-01-04,lowerror
189,13851543,0.0109,2016-01-04,lowerror
190,11567831,-0.003,2016-01-04,lowerror
191,17267250,0.0119,2016-01-04,lowerror
192,11768520,-0.0661,2016-01-04,lowerror
193,14270950,0.1169,2016-01-04,higherror
194,13938654,0.0779,2016-01-04,higherror
195,14419151,0.0751,2016-01-04,higherror
196,14051738,0.008,2016-01-04,lowerror
197,14104070,0.0315,2016-01-04,lowerror
198,11309502,-0.0121,2016-01-04,lowerror
199,10904630,-0.006,2016-01-04,lowerror
200,13858454,0.004,2016-01-04,lowerror
201,14713723,0.0402,2016-01-04,lowerror
202,11166503,-0.002,2016-01-04,lowerror
203,11648653,0.0667,2016-01-04,lowerror
204,11022729,0.0315,2016-01-04,lowerror
205,14108170,0.0363,2016-01-04,lowerror
206,11143894,0.0188,2016-01-04,lowerror
207,14110831,0.0344,2016-01-04,lowerror
208,13859323,0.0998,2016-01-04,higherror
209,17289794,0.0469,2016-01-04,lowerror
210,13971777,0.0788,2016-01-04,higherror
211,17292862,0.006999999999999999,2016-01-04,lowerror
212,10815023,0.4941,2016-01-04,higherror
213,13013515,-0.0736,2016-01-04,higherror
214,12029244,-0.003,2016-01-04,lowerror
215,11115579,0.0149,2016-01-04,lowerror
216,11115487,0.0507,2016-01-04,lowerror
217,11975142,-0.0263,2016-01-04,lowerror
218,12893149,-0.0408,2016-01-04,lowerror
219,13994443,-0.0715,2016-01-04,higherror
220,17238099,-0.0161,2016-01-04,lowerror
221,12429744,0.003,2016-01-04,lowerror
222,11623495,-0.2144,2016-01-04,higherror
223,12430575,0.0,2016-01-04,
224,12031070,0.0807,2016-01-04,higherror
225,12945898,0.1124,2016-01-04,higherror
226,10833093,0.0889,2016-01-04,higherror
227,12044422,-0.0346,2016-01-04,lowerror
228,12422738,0.0149,2016-01-04,lowerror
229,12676375,-0.0356,2016-01-04,lowerror
230,12414769,-0.0587,2016-01-04,lowerror
231,13022682,-0.0545,2016-01-04,lowerror
232,10936299,-0.0253,2016-01-04,lowerror
233,10836431,0.1106,2016-01-04,higherror
234,12418093,-0.0608,2016-01-04,lowerror
235,11121870,0.1026,2016-01-04,higherror
236,11801228,0.005,2016-01-04,lowerror
237,12807257,0.1266,2016-01-04,higherror
238,10915275,-0.0325,2016-01-04,lowerror
239,14207225,0.0421,2016-01-04,lowerror
240,10803962,-0.0274,2016-01-04,lowerror
241,14426804,0.0797,2016-01-04,higherror
242,12523304,0.0315,2016-01-04,lowerror
243,11745005,0.0526,2016-01-04,lowerror
244,14601697,-0.0111,2016-01-04,lowerror
245,12818304,-0.0111,2016-01-04,lowerror
246,11973896,-0.0111,2016-01-04,lowerror
247,12686516,0.0296,2016-01-04,lowerror
248,14020348,-0.006999999999999999,2016-01-04,lowerror
249,17195014,-0.006,2016-01-04,lowerror
250,12892344,-0.0253,2016-01-04,lowerror
251,11492012,-0.003,2016-01-04,lowerror
252,17240931,0.0344,2016-01-04,lowerror
253,14749589,-0.0141,2016-01-04,lowerror
254,11105509,0.003,2016-01-04,lowerror
255,12446142,0.006999999999999999,2016-01-04,lowerror
256,12446547,-0.1936,2016-01-04,higherror
257,12977321,-0.044000000000000004,2016-01-04,lowerror
258,11970677,0.0469,2016-01-04,lowerror
259,12034787,-0.1312,2016-01-04,higherror
260,11488257,0.0218,2016-01-04,lowerror
261,11887665,0.1053,2016-01-04,higherror
262,14684078,0.006,2016-01-04,lowerror
263,17196448,0.0705,2016-01-04,higherror
264,11713735,-0.0284,2016-01-04,lowerror
265,14604634,0.0129,2016-01-04,lowerror
266,12431924,0.0658,2016-01-04,lowerror
267,14428379,-0.0576,2016-01-04,lowerror
268,12832944,-0.008,2016-01-04,lowerror
269,11158358,-0.0171,2016-01-04,lowerror
270,14603678,-0.003,2016-01-04,lowerror
271,14003170,0.0149,2016-01-04,lowerror
272,12452910,-0.1065,2016-01-04,higherror
273,14217233,-0.0151,2016-01-04,lowerror
274,14664394,-0.003,2016-01-04,lowerror
275,11158382,0.0797,2016-01-04,higherror
276,11628112,0.1053,2016-01-04,higherror
277,12689469,-0.408,2016-01-04,higherror
278,11624673,0.003,2016-01-04,lowerror
279,12823622,0.0421,2016-01-04,lowerror
280,10826295,-0.0346,2016-01-04,lowerror
281,12804224,0.4929,2016-01-04,higherror
282,12884867,-0.006,2016-01-04,lowerror
283,11397664,0.0853,2016-01-04,higherror
284,14624570,-0.0367,2016-01-04,lowerror
285,12026299,0.0159,2016-01-04,lowerror
286,12407264,0.0363,2016-01-04,lowerror
287,12683534,-0.0704,2016-01-04,higherror
288,12406804,-0.1985,2016-01-04,higherror
289,11195818,-0.0534,2016-01-04,lowerror
290,14167564,0.0363,2016-01-04,lowerror
291,10774688,0.0363,2016-01-04,lowerror
292,13032519,-0.0367,2016-01-04,lowerror
293,10756691,1.083,2016-01-04,higherror
294,14166471,-0.0346,2016-01-04,lowerror
295,14166394,-0.1613,2016-01-04,higherror
296,11086459,0.1222,2016-01-04,higherror
297,14680925,0.006,2016-01-04,lowerror
298,14314886,0.0334,2016-01-04,lowerror
299,13983678,0.0611,2016-01-04,lowerror
300,11337402,0.0218,2016-01-04,lowerror
301,11198617,-0.0398,2016-01-04,lowerror
302,14162041,0.0159,2016-01-04,lowerror
303,12956411,-0.4277,2016-01-04,higherror
304,12166017,-0.002,2016-01-04,lowerror
305,12956786,-0.0598,2016-01-04,lowerror
306,12393013,-0.001,2016-01-04,lowerror
307,14160852,0.0139,2016-01-04,lowerror
308,12062343,-0.0769,2016-01-04,higherror
309,14667864,-0.006999999999999999,2016-01-04,lowerror
310,12801486,0.0592,2016-01-04,lowerror
311,12168378,-0.1143,2016-01-04,higherror
312,14171755,-0.0101,2016-01-04,lowerror
313,17197472,-0.2971,2016-01-04,higherror
314,14678945,0.0363,2016-01-04,lowerror
315,12410022,0.2624,2016-01-04,higherror
316,12462074,0.01,2016-01-04,lowerror
317,14600494,0.001,2016-01-04,lowerror
318,14664914,0.0276,2016-01-04,lowerror
319,12966592,-0.046,2016-01-05,lowerror
320,14199177,-0.006,2016-01-05,lowerror
321,14615180,-0.0387,2016-01-05,lowerror
322,12109114,0.0129,2016-01-05,lowerror
323,12021224,0.004,2016-01-05,lowerror
324,17297827,0.002,2016-01-05,lowerror
325,14455091,0.0286,2016-01-05,lowerror
326,12544321,0.004,2016-01-05,lowerror
327,11012271,0.006999999999999999,2016-01-05,lowerror
328,12958294,-0.0598,2016-01-05,lowerror
329,17218326,-0.004,2016-01-05,lowerror
330,10980675,0.1151,2016-01-05,higherror
331,14614625,-0.0263,2016-01-05,lowerror
332,14215092,0.01,2016-01-05,lowerror
333,12737237,0.0129,2016-01-05,lowerror
334,12737136,0.0296,2016-01-05,lowerror
335,14096632,-0.009000000000000001,2016-01-05,lowerror
336,12109478,-0.0111,2016-01-05,lowerror
337,12021540,0.0149,2016-01-05,lowerror
338,14625084,0.0149,2016-01-05,lowerror
339,12276174,0.0,2016-01-05,
340,17226746,-0.0243,2016-01-05,lowerror
341,14745928,0.0305,2016-01-05,lowerror
342,11928703,-0.045,2016-01-05,lowerror
343,14066388,-0.0471,2016-01-05,lowerror
344,12507667,-0.0387,2016-01-05,lowerror
345,11580655,0.0363,2016-01-05,lowerror
346,11232862,-0.0253,2016-01-05,lowerror
347,10872805,-0.003,2016-01-05,lowerror
348,11110786,-0.006999999999999999,2016-01-05,lowerror
349,10729725,-0.0253,2016-01-05,lowerror
350,12011448,0.0373,2016-01-05,lowerror
351,11563853,0.0421,2016-01-05,lowerror
352,14707107,0.0169,2016-01-05,lowerror
353,11000658,-0.0325,2016-01-05,lowerror
354,13887161,0.0276,2016-01-05,lowerror
355,12845729,-0.002,2016-01-05,lowerror
356,14081436,-0.0212,2016-01-05,lowerror
357,12106051,0.0354,2016-01-05,lowerror
358,10874827,0.1371,2016-01-05,higherror
359,12845555,0.0344,2016-01-05,lowerror
360,12869822,0.0119,2016-01-05,lowerror
361,12718673,-0.0131,2016-01-05,lowerror
362,10774008,0.045,2016-01-05,lowerror
363,11569103,0.0564,2016-01-05,lowerror
364,13876358,-0.0856,2016-01-05,higherror
365,13876785,-0.1485,2016-01-05,higherror
366,11661193,-0.2033,2016-01-05,higherror
367,12113474,-0.0866,2016-01-05,higherror
368,12842652,-0.0263,2016-01-05,lowerror
369,12455288,-0.006999999999999999,2016-01-05,lowerror
370,14073978,-0.006999999999999999,2016-01-05,lowerror
371,14202062,0.045,2016-01-05,lowerror
372,17226441,0.0169,2016-01-05,lowerror
373,14091051,0.0237,2016-01-05,lowerror
374,13891350,0.0507,2016-01-05,lowerror
375,11120416,0.0325,2016-01-05,lowerror
376,12643095,-0.0192,2016-01-05,lowerror
377,12238089,-0.0315,2016-01-05,lowerror
378,12473123,0.0296,2016-01-05,lowerror
379,12964997,-0.0534,2016-01-05,lowerror
380,12644113,0.0497,2016-01-05,lowerror
381,10893738,0.0109,2016-01-05,lowerror
382,12004630,-0.2549,2016-01-05,higherror
383,12454667,0.0296,2016-01-05,lowerror
384,12469692,-0.0346,2016-01-05,lowerror
385,11394220,-0.006999999999999999,2016-01-05,lowerror
386,14679228,-0.064,2016-01-05,lowerror
387,14069135,0.0159,2016-01-05,lowerror
388,11750137,-0.046,2016-01-05,lowerror
389,17272543,-0.0121,2016-01-05,lowerror
390,14621037,-0.0367,2016-01-05,lowerror
391,13885158,0.0459,2016-01-05,lowerror
392,11594138,0.0411,2016-01-05,lowerror
393,14708442,0.1133,2016-01-05,higherror
394,11741237,-0.0387,2016-01-05,lowerror
395,10996306,0.0325,2016-01-05,lowerror
396,10737032,0.1204,2016-01-05,higherror
397,11246505,0.063,2016-01-05,lowerror
398,11007574,-0.0377,2016-01-05,lowerror
399,13891855,0.0383,2016-01-05,lowerror
400,10807148,0.0862,2016-01-05,higherror
401,14641035,0.005,2016-01-05,lowerror
402,17226800,-0.006,2016-01-05,lowerror
403,11240447,0.0788,2016-01-05,higherror
404,10895566,0.0227,2016-01-05,lowerror
405,17202259,0.1133,2016-01-05,higherror
406,10880407,-0.0545,2016-01-05,lowerror
407,11659351,-0.005,2016-01-05,lowerror
408,12390731,0.0286,2016-01-05,lowerror
409,12982143,0.0392,2016-01-05,lowerror
410,17252569,-0.0545,2016-01-05,lowerror
411,14530800,-0.0429,2016-01-05,lowerror
412,12862271,-0.0619,2016-01-05,lowerror
413,11532589,-0.0111,2016-01-05,lowerror
414,12780574,0.0797,2016-01-05,higherror
415,14066006,0.0421,2016-01-05,lowerror
416,13026301,0.062,2016-01-05,lowerror
417,11702757,0.0751,2016-01-05,higherror
418,11060416,-0.0202,2016-01-05,lowerror
419,12594965,0.0178,2016-01-05,lowerror
420,14507300,0.004,2016-01-05,lowerror
421,12076748,-0.0492,2016-01-05,lowerror
422,12567149,0.0129,2016-01-05,lowerror
423,11088889,0.0469,2016-01-05,lowerror
424,11947002,-0.0899,2016-01-05,higherror
425,14310517,0.077,2016-01-05,higherror
426,13068303,-0.0346,2016-01-05,lowerror
427,14434812,0.002,2016-01-05,lowerror
428,11207559,0.0962,2016-01-05,higherror
429,12483427,0.0296,2016-01-05,lowerror
430,11537781,0.0383,2016-01-05,lowerror
431,11945491,0.01,2016-01-05,lowerror
432,11945452,0.1204,2016-01-05,higherror
433,11840865,-0.0346,2016-01-05,lowerror
434,11696137,-0.0651,2016-01-05,lowerror
435,12333068,-0.0233,2016-01-05,lowerror
436,11210592,0.0554,2016-01-05,lowerror
437,12766483,0.044000000000000004,2016-01-05,lowerror
438,11191603,0.1106,2016-01-05,higherror
439,17232555,0.0208,2016-01-05,lowerror
440,17105834,-0.0121,2016-01-05,lowerror
441,14736046,0.0363,2016-01-05,lowerror
442,13061710,0.063,2016-01-05,lowerror
443,14160402,0.0373,2016-01-05,lowerror
444,14161317,0.0507,2016-01-05,lowerror
445,14159542,0.0286,2016-01-05,lowerror
446,11712463,-0.006999999999999999,2016-01-05,lowerror
447,11074225,0.0266,2016-01-05,lowerror
448,12061339,0.009000000000000001,2016-01-05,lowerror
449,12061151,0.0266,2016-01-05,lowerror
450,11170382,0.0159,2016-01-05,lowerror
451,12384587,0.0188,2016-01-05,lowerror
452,12860573,0.0119,2016-01-05,lowerror
453,12576624,-0.0502,2016-01-05,lowerror
454,10756010,-0.0566,2016-01-05,lowerror
455,11711123,0.0953,2016-01-05,higherror
456,12583261,-0.0758,2016-01-05,higherror
457,11327631,-0.1188,2016-01-05,higherror
458,11709883,-0.001,2016-01-05,lowerror
459,14742582,0.0497,2016-01-05,lowerror
460,17171828,0.1302,2016-01-05,higherror
461,11830066,-0.0726,2016-01-05,higherror
462,11463161,-0.0253,2016-01-05,lowerror
463,12366236,-0.3425,2016-01-05,higherror
464,11082807,-0.0253,2016-01-05,lowerror
465,11757507,-0.0608,2016-01-05,lowerror
466,11719164,0.0344,2016-01-05,lowerror
467,11960355,-0.0243,2016-01-05,lowerror
468,17209989,0.01,2016-01-05,lowerror
469,14313550,0.1222,2016-01-05,higherror
470,10839804,0.3968,2016-01-05,higherror
471,12569823,-0.0171,2016-01-05,lowerror
472,10839224,0.3141,2016-01-05,higherror
473,12447938,-0.0346,2016-01-05,lowerror
474,13018435,0.11599999999999999,2016-01-05,higherror
475,11094371,0.2508,2016-01-05,higherror
476,11548973,-0.003,2016-01-05,lowerror
477,14685821,0.0247,2016-01-05,lowerror
478,14448665,0.0507,2016-01-05,lowerror
479,14118520,0.0159,2016-01-05,lowerror
480,12095630,0.0363,2016-01-05,lowerror
481,12614428,0.0247,2016-01-05,lowerror
482,10864293,0.0488,2016-01-05,lowerror
483,11186988,0.0459,2016-01-05,lowerror
484,14297635,0.0218,2016-01-05,lowerror
485,14604326,0.0383,2016-01-05,lowerror
486,13840974,-0.006,2016-01-05,lowerror
487,11031921,-0.0356,2016-01-05,lowerror
488,14496938,0.1275,2016-01-05,higherror
489,12097784,-0.0987,2016-01-05,higherror
490,14343698,0.0178,2016-01-05,lowerror
491,12867969,-0.004,2016-01-05,lowerror
492,14111931,0.0227,2016-01-05,lowerror
493,12100614,-0.0233,2016-01-05,lowerror
494,12985635,0.7453,2016-01-05,higherror
495,11229204,-0.3552,2016-01-05,higherror
496,13850164,-0.1567,2016-01-05,higherror
497,13850164,-0.046,2016-06-29,lowerror
498,13856560,-0.1462,2016-01-05,higherror
499,11678644,-0.1972,2016-01-05,higherror
500,14728726,0.0296,2016-01-05,lowerror
501,12011640,0.001,2016-01-05,lowerror
502,10870371,0.0989,2016-01-05,higherror
503,12287390,0.0363,2016-01-05,lowerror
504,14104385,0.124,2016-01-05,higherror
505,12828541,0.1756,2016-01-05,higherror
506,14686077,0.0149,2016-01-05,lowerror
507,14687603,0.0286,2016-01-05,lowerror
508,13004684,0.0478,2016-01-05,lowerror
509,11495925,-0.008,2016-01-05,lowerror
510,11047246,-0.0212,2016-01-05,lowerror
511,13015746,0.0953,2016-01-05,higherror
512,14663714,-0.002,2016-01-05,lowerror
513,12920545,0.003,2016-01-05,lowerror
514,14602457,0.0677,2016-01-05,lowerror
515,12939969,-0.0315,2016-01-05,lowerror
516,12759574,0.0129,2016-01-05,lowerror
517,14446998,-0.0243,2016-01-05,lowerror
518,14219543,0.0411,2016-01-05,lowerror
519,13088597,0.0119,2016-01-05,lowerror
520,11499071,0.0871,2016-01-05,higherror
521,12758851,0.25,2016-01-05,higherror
522,12325153,0.0751,2016-01-05,higherror
523,12324895,0.0208,2016-01-05,lowerror
524,17243641,0.0344,2016-01-05,lowerror
525,11941213,-0.1684,2016-01-05,higherror
526,12609176,0.0218,2016-01-05,lowerror
527,11317322,0.0421,2016-01-05,lowerror
528,10860946,0.0169,2016-01-05,lowerror
529,12045389,0.0714,2016-01-05,higherror
530,14181542,0.0392,2016-01-05,lowerror
531,11546051,0.1714,2016-01-05,higherror
532,10805689,0.0507,2016-01-05,lowerror
533,12320257,-0.002,2016-01-05,lowerror
534,11041746,0.0898,2016-01-05,higherror
535,17260292,-0.009000000000000001,2016-01-05,lowerror
536,14338816,-0.0325,2016-01-05,lowerror
537,12915862,-0.0161,2016-01-05,lowerror
538,10805692,0.0178,2016-01-05,lowerror
539,12819525,0.062,2016-01-05,lowerror
540,11687100,-0.1602,2016-01-05,higherror
541,12957131,-0.2485,2016-01-05,higherror
542,12137364,-0.0481,2016-01-05,lowerror
543,11885914,0.0602,2016-01-05,lowerror
544,12710764,0.1062,2016-01-05,higherror
545,11908948,0.003,2016-01-05,lowerror
546,12001726,0.08800000000000001,2016-01-05,higherror
547,12212533,0.3478,2016-01-05,higherror
548,11903377,0.0325,2016-01-05,lowerror
549,12675095,-0.1165,2016-01-05,higherror
550,11656905,0.0129,2016-01-05,lowerror
551,13947548,0.0564,2016-01-05,lowerror
552,11634189,0.0139,2016-01-05,lowerror
553,12219524,-0.0408,2016-01-05,lowerror
554,11890296,-0.0253,2016-01-05,lowerror
555,17116334,-0.0367,2016-01-05,lowerror
556,12684286,-0.0111,2016-01-05,lowerror
557,13975959,0.009000000000000001,2016-01-05,lowerror
558,14382837,0.006,2016-01-05,lowerror
559,12191628,0.0797,2016-01-05,higherror
560,10728399,0.0257,2016-01-05,lowerror
561,11618065,0.0564,2016-01-05,lowerror
562,13968748,0.1604,2016-01-05,higherror
563,14056841,0.0344,2016-01-05,lowerror
564,12687179,0.0286,2016-01-05,lowerror
565,11267334,-0.0943,2016-01-05,higherror
566,14006983,0.0109,2016-01-05,lowerror
567,14264899,0.0431,2016-01-05,lowerror
568,10954606,0.0247,2016-01-05,lowerror
569,14030664,0.2776,2016-01-05,higherror
570,14716372,0.005,2016-01-05,lowerror
571,10902690,0.0129,2016-01-05,lowerror
572,12687504,0.0227,2016-01-05,lowerror
573,14717556,0.005,2016-01-05,lowerror
574,17055852,-0.0131,2016-01-05,lowerror
575,10933323,-0.1054,2016-01-05,higherror
576,11898674,0.0507,2016-01-05,lowerror
577,11886906,0.1196,2016-01-05,higherror
578,12684085,0.1415,2016-01-05,higherror
579,14616139,-0.0233,2016-01-05,lowerror
580,11994703,0.009000000000000001,2016-01-05,lowerror
581,14417404,-0.0336,2016-01-05,lowerror
582,11779346,0.0373,2016-01-05,lowerror
583,12227848,0.1748,2016-01-05,higherror
584,17285630,0.0402,2016-01-05,lowerror
585,13945053,-0.1393,2016-01-05,higherror
586,12185514,-0.0233,2016-01-05,lowerror
587,11644320,-0.0131,2016-01-05,lowerror
588,10968472,-0.0182,2016-01-05,lowerror
589,11626960,0.0554,2016-01-05,lowerror
590,14000144,0.0257,2016-01-05,lowerror
591,14458350,0.006999999999999999,2016-01-05,lowerror
592,12222991,-0.2169,2016-01-05,higherror
593,14744376,0.0431,2016-01-05,lowerror
594,14390486,0.0129,2016-01-05,lowerror
595,12692473,0.044000000000000004,2016-01-05,lowerror
596,11606616,-0.0294,2016-01-05,lowerror
597,12666369,0.0169,2016-01-05,lowerror
598,11616509,-0.004,2016-01-05,lowerror
599,12206553,-0.0141,2016-01-05,lowerror
600,11620624,0.0383,2016-01-05,lowerror
601,10792574,-0.2497,2016-01-05,higherror
602,10905399,-0.1661,2016-01-05,higherror
